	Date	Open	High	Low	Close
0	2020-04-02	2.98	3.15	2.97	3.05
1	2020-04-03	3.06	3.18	3.05	3.08
2	2020-04-06	3.15	3.34	3.08	3.28
3	2020-04-07	3.3	3.47	3.18	3.36
4	2020-04-08	3.37	3.5	3.33	3.38
5	2020-04-09	3.52	3.74	3.51	3.72
6	2020-04-13	3.77	4.17	3.56	4.16
7	2020-04-14	4.28	4.59	4.1	4.19
8	2020-04-15	4.07	4.27	3.96	4.16
9	2020-04-16	4.25	4.46	4.2	4.36
10	2020-04-17	4.18	4.33	4.13	4.26
11	2020-04-20	4.29	4.51	4.27	4.39
12	2020-04-21	4.21	4.43	4.21	4.36
13	2020-04-22	4.52	4.71	4.51	4.65
14	2020-04-23	4.79	4.95	4.7	4.72
15	2020-04-24	4.85	4.89	4.59	4.76
16	2020-04-27	4.76	4.85	4.58	4.77
17	2020-04-28	4.73	4.8	4.57	4.74
18	2020-04-29	4.67	4.82	4.6	4.81
19	2020-04-30	4.82	4.97	4.63	4.68
20	2020-05-01	4.6	4.88	4.56	4.87
21	2020-05-04	4.93	4.96	4.84	4.89
22	2020-05-05	4.81	5.0	4.75	4.93
23	2020-05-06	4.87	4.95	4.81	4.87
24	2020-05-07	4.94	5.12	4.86	5.07
25	2020-05-08	5.08	5.28	5.05	5.24
26	2020-05-11	5.23	5.33	5.02	5.07
27	2020-05-12	5.12	5.27	5.05	5.08
28	2020-05-13	5.14	5.21	4.96	5.08
29	2020-05-14	5.07	5.28	5.05	5.16
30	2020-05-15	5.26	5.32	5.17	5.29
31	2020-05-18	5.39	5.39	4.95	4.97
32	2020-05-19	5.14	5.52	5.1	5.47
33	2020-05-20	5.55	5.65	5.46	5.5
34	2020-05-21	5.44	5.45	5.18	5.29
35	2020-05-22	5.33	5.44	5.22	5.25
36	2020-05-26	5.21	5.22	5.06	5.1
37	2020-05-27	4.96	5.1	4.88	5.04
38	2020-05-28	5.14	5.25	5.05	5.12
39	2020-05-29	5.25	5.43	5.25	5.36
40	2020-06-01	5.38	5.54	5.33	5.44
41	2020-06-02	5.45	5.48	5.2	5.22
42	2020-06-03	5.08	5.16	5.0	5.08
43	2020-06-04	5.18	5.21	5.06	5.12
44	2020-06-05	4.93	5.02	4.81	5.02
45	2020-06-08	5.02	5.09	4.92	5.09
46	2020-06-09	5.17	5.24	5.07	5.14
47	2020-06-10	5.19	5.36	5.02	5.36
48	2020-06-11	5.37	5.42	4.85	4.93
49	2020-06-12	5.05	5.08	4.85	4.91
50	2020-06-15	4.78	5.03	4.66	5.01
51	2020-06-16	5.01	5.02	4.81	4.84
52	2020-06-17	4.85	4.95	4.84	4.89
53	2020-06-18	4.86	4.92	4.81	4.82
54	2020-06-19	4.89	5.08	4.84	5.03
55	2020-06-22	5.15	5.33	5.13	5.22
56	2020-06-23	5.37	5.38	5.22	5.26
57	2020-06-24	5.27	5.31	5.08	5.12
58	2020-06-25	5.09	5.17	5.01	5.17
59	2020-06-26	5.13	5.24	5.02	5.21
60	2020-06-29	5.2	5.29	5.16	5.28
61	2020-06-30	5.25	5.46	5.22	5.46
62	2020-07-01	5.46	5.46	5.23	5.38
63	2020-07-02	5.34	5.48	5.3	5.35
64	2020-07-06	5.42	5.48	5.3	5.35
65	2020-07-07	5.34	5.56	5.31	5.53
66	2020-07-08	5.66	5.73	5.47	5.56
67	2020-07-09	5.63	5.68	5.44	5.59
68	2020-07-10	5.62	5.64	5.46	5.51
