	Date	Open	High	Low	Close
0	2020-04-02	19.1	20.629999	18.969999	19.85
1	2020-04-03	19.74	20.370001	19.74	19.950001
2	2020-04-06	20.5	21.129999	20.23	20.549999
3	2020-04-07	20.49	20.629999	19.860001	20.309999
4	2020-04-08	20.18	20.57	19.98	20.41
5	2020-04-09	20.91	22.57	20.709999	22.51
6	2020-04-13	22.5	24.76	22.25	24.370001
7	2020-04-14	24.299999	25.049999	23.84	24.43
8	2020-04-15	23.74	24.690001	23.450001	24.469999
9	2020-04-16	24.5	25.110001	24.360001	25.0
10	2020-04-17	23.440001	24.65	23.15	24.540001
11	2020-04-20	24.309999	25.469999	24.309999	24.92
12	2020-04-21	24.1	25.129999	24.049999	24.82
13	2020-04-22	25.65	26.58	25.57	26.48
14	2020-04-23	26.940001	28.5	26.57	26.74
15	2020-04-24	27.25	27.67	26.799999	27.1
16	2020-04-27	27.049999	27.360001	26.280001	26.93
17	2020-04-28	26.469999	27.15	26.01	26.959999
18	2020-04-29	26.68	27.040001	25.92	26.549999
19	2020-04-30	26.1	26.559999	25.33	25.719999
20	2020-05-01	25.280001	27.1	25.16	26.93
21	2020-05-04	27.299999	27.690001	26.940001	27.379999
22	2020-05-05	27.280001	28.290001	26.92	28.190001
23	2020-05-06	27.93	28.09	26.41	26.559999
24	2020-05-07	27.0	27.65	26.639999	27.26
25	2020-05-08	27.440001	27.889999	27.24	27.389999
26	2020-05-11	27.219999	27.360001	25.91	26.02
27	2020-05-12	26.33	26.690001	25.940001	26.040001
28	2020-05-13	26.58	26.639999	25.559999	26.120001
29	2020-05-14	26.1	27.35	26.1	27.139999
30	2020-05-15	27.67	28.1	27.25	28.040001
31	2020-05-18	28.08	28.23	26.93	27.200001
32	2020-05-19	27.52	28.25	27.41	28.1
33	2020-05-20	28.290001	28.360001	27.219999	27.25
34	2020-05-21	26.959999	26.969999	25.610001	26.26
35	2020-05-22	26.6	26.959999	26.23	26.32
36	2020-05-26	25.9	25.9	24.58	24.73
37	2020-05-27	23.450001	24.0	23.059999	23.92
38	2020-05-28	24.549999	24.780001	23.809999	23.950001
39	2020-05-29	24.65	24.709999	23.959999	24.0
40	2020-06-01	24.1	24.790001	24.1	24.780001
41	2020-06-02	24.82	24.83	23.66	23.950001
42	2020-06-03	23.34	23.67	22.73	23.219999
43	2020-06-04	23.82	24.02	23.18	23.43
44	2020-06-05	22.5	23.299999	22.129999	23.290001
45	2020-06-08	23.24	23.58	22.889999	23.559999
46	2020-06-09	24.1	24.51	23.790001	24.33
47	2020-06-10	24.77	25.200001	23.65	25.08
48	2020-06-11	25.41	25.9	23.639999	24.309999
49	2020-06-12	24.65	24.91	23.91	24.07
50	2020-06-15	23.5	24.82	23.09	24.74
51	2020-06-16	24.42	24.91	24.120001	24.379999
52	2020-06-17	24.48	24.790001	24.1	24.25
53	2020-06-18	24.200001	24.43	23.84	23.940001
54	2020-06-19	24.25	24.84	24.1	24.49
55	2020-06-22	25.110001	25.860001	25.01	25.450001
56	2020-06-23	25.950001	26.18	25.5	25.68
57	2020-06-24	25.68	26.25	25.35	25.709999
58	2020-06-25	25.73	25.84	25.33	25.73
59	2020-06-26	25.639999	25.959999	25.17	25.870001
60	2020-06-29	26.0	26.190001	25.76	26.129999
61	2020-06-30	26.059999	27.040001	25.85	26.940001
62	2020-07-01	26.98	26.98	25.879999	26.809999
63	2020-07-02	26.6	26.950001	26.27	26.27
64	2020-07-06	26.73	26.99	26.360001	26.610001
65	2020-07-07	26.549999	27.209999	26.35	27.02
66	2020-07-08	27.549999	27.940001	27.290001	27.719999
67	2020-07-09	28.0	28.049999	26.99	27.59
68	2020-07-10	27.639999	27.860001	26.969999	27.110001
69	2020-07-13	27.49	27.66	26.040001	26.129999
70	2020-07-14	26.049999	27.07	25.950001	27.049999
71	2020-07-15	26.9	27.1	26.34	27.09
72	2020-07-16	26.82	27.09	26.389999	26.690001
73	2020-07-17	27.040001	27.41	26.76	27.34
74	2020-07-20	27.610001	28.17	27.610001	28.120001
75	2020-07-21	28.76	28.84	28.15	28.23
76	2020-07-22	28.65	28.690001	28.1	28.52
77	2020-07-23	28.51	28.870001	27.57	27.99
78	2020-07-24	28.120001	28.48	28.030001	28.440001
79	2020-07-27	29.5	30.200001	29.41	29.91
80	2020-07-28	29.5	29.889999	29.209999	29.59
81	2020-07-29	29.76	29.82	28.389999	28.780001
82	2020-07-30	27.9	28.629999	27.52	28.25
83	2020-07-31	28.719999	29.030001	28.26	28.91
84	2020-08-03	28.799999	28.870001	28.18	28.719999
85	2020-08-04	28.77	29.85	28.35	29.75
86	2020-08-05	30.5	30.690001	29.5	29.84
87	2020-08-06	30.040001	30.110001	29.08	29.5
88	2020-08-07	29.0	29.35	28.440001	28.870001
89	2020-08-10	29.33	29.93	28.629999	28.719999
90	2020-08-11	27.1	27.57	25.870001	26.25
91	2020-08-12	26.969999	27.049999	26.059999	26.18
92	2020-08-13	26.610001	27.440001	26.5	27.139999
93	2020-08-14	27.129999	27.24	26.549999	26.99
94	2020-08-17	29.620001	30.27	29.299999	30.129999
95	2020-08-18	31.200001	31.219999	29.74	30.040001
96	2020-08-19	30.049999	30.32	28.799999	28.98
97	2020-08-20	29.07	29.99	28.91	29.950001
98	2020-08-21	29.709999	29.780001	28.940001	29.309999
99	2020-08-24	29.780001	29.82	28.93	28.969999
100	2020-08-25	28.84	28.940001	28.120001	28.75
101	2020-08-26	28.440001	29.389999	28.389999	29.370001
102	2020-08-27	29.860001	29.9	28.309999	28.58
103	2020-08-28	29.209999	29.549999	29.049999	29.200001
104	2020-08-31	29.48	29.98	29.280001	29.65
105	2020-09-01	30.27	30.33	28.98	29.33
106	2020-09-02	29.17	29.65	28.6	29.610001
107	2020-09-03	29.33	29.690001	28.59	29.26
