	Date	Open	High	Low	Close
0	2020-04-02	2.2	2.33	2.16	2.18
1	2020-04-03	2.23	2.31	2.11	2.11
2	2020-04-06	2.3	2.55	2.19	2.42
3	2020-04-07	2.49	2.54	2.33	2.4
4	2020-04-08	2.39	2.55	2.39	2.47
5	2020-04-09	2.63	2.76	2.52	2.67
6	2020-04-13	2.77	2.89	2.53	2.85
7	2020-04-14	3.03	3.34	2.99	3.07
8	2020-04-15	2.98	3.05	2.76	2.86
9	2020-04-16	2.98	3.0	2.79	2.89
10	2020-04-17	2.8	2.89	2.72	2.78
11	2020-04-20	2.88	2.97	2.85	2.94
12	2020-04-21	2.79	2.9	2.76	2.82
13	2020-04-22	2.99	3.11	2.96	3.08
14	2020-04-23	3.34	3.61	3.32	3.55
15	2020-04-24	3.73	3.84	3.58	3.77
16	2020-04-27	3.77	3.83	3.56	3.65
17	2020-04-28	3.65	3.65	3.47	3.57
18	2020-04-29	3.59	3.75	3.54	3.75
19	2020-04-30	3.67	3.77	3.57	3.62
20	2020-05-01	3.55	3.87	3.46	3.85
21	2020-05-04	3.81	3.98	3.8	3.91
22	2020-05-05	3.93	4.0	3.77	3.88
23	2020-05-06	3.58	3.58	3.32	3.5
24	2020-05-07	3.45	3.6	3.3	3.54
25	2020-05-08	3.48	3.67	3.46	3.57
26	2020-05-11	3.5	3.61	3.46	3.47
27	2020-05-12	3.6	3.77	3.58	3.67
28	2020-05-13	3.63	3.69	3.45	3.52
29	2020-05-14	3.5	3.81	3.5	3.78
30	2020-05-15	3.85	3.89	3.74	3.85
31	2020-05-18	3.92	3.93	3.71	3.74
32	2020-05-19	3.74	3.86	3.66	3.79
33	2020-05-20	3.7	3.8	3.67	3.68
34	2020-05-21	3.63	3.65	3.51	3.62
35	2020-05-22	3.55	3.65	3.52	3.53
36	2020-05-26	3.48	3.5	3.28	3.31
37	2020-05-27	3.2	3.39	3.19	3.39
38	2020-05-28	3.44	3.46	3.27	3.32
39	2020-05-29	3.37	3.39	3.25	3.33
40	2020-06-01	3.37	3.42	3.35	3.41
41	2020-06-02	3.51	3.52	3.28	3.28
42	2020-06-03	3.12	3.2	3.07	3.11
43	2020-06-04	3.27	3.28	3.14	3.25
44	2020-06-05	3.05	3.15	3.0	3.13
45	2020-06-08	3.15	3.21	3.12	3.17
